store_id,store,address,discription,openTime,latitude,longtitute,mapReview,region,soup,transport,city_name
11,山嵐拉麵-台灣總店,106台北市大安區杭州南路二段75號,於2019年6月遷移至現址，店內所售品項分為白湯(豚骨)、赤湯(加辣)、海湯(加魚粉)，三種口味也各有沾麵與蔥爆、叉燒版本，均為特色與水準之作，柔嫩的叉燒與風味十足的風味油更是在吃時讓人相當喜愛，沾湯內的高麗菜滋味十足，湯頭內的豬背脂油而不膩讓人回味再三。本店特色限定為紅味噌拉麵。,11:30~14:30、17:15~20:45,25.029168,121.522079,姿婷王 - 白湯豚骨／赤湯豚骨   https://bit.ly/3689RvY   Is Amy - 白系豚骨   https://bit.ly/3kiBmbX   蔡旻原 - 海湯拉麵   https://bit.ly/3jU8u97,北,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #豚骨魚介 #辣味 #2019金賞,南門市場 / 捷運古亭站步行4分,台北市
12,山嵐拉麵-公館店,100台北市中正區羅斯福路四段136巷1弄13號,在東區的分店開設後，山嵐決定於公館開設第二間店，本店除了擁有與忠孝店相同的定番外，更常常推出與忠孝店不同的限定以饗饕客；而鄰近的公館商圈除了有為數眾多的夜市小吃外，更有金石文化廣場與東南亞秀泰影城可供遊憩。,週日~周四: 11:30~21:00周五~周六: 11:30~21:30,25.013039,121.535375,姿婷王 - 白湯豚骨／赤湯豚骨   https://bit.ly/3689RvY   Is Amy - 白系豚骨   https://bit.ly/3kiBmbX   蔡旻原 - 海湯拉麵   https://bit.ly/3jU8u97,北,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #豚骨魚介 #辣味 #2019金賞,台大／捷運公館站,台北市
13,山嵐拉麵-大安店,106台北市大安區復興南路二段,於2019年11月開幕，店內所售品項分為白湯(豚骨)、赤湯(加辣)、海湯(加魚粉)，三種口味也各有沾麵與蔥爆、叉燒版本，均為特色與水準之作，柔嫩的叉燒與風味十足的風味油更是在吃時讓人相當喜愛，沾湯內的高麗菜滋味十足，湯頭內的豬背脂油而不膩讓人回味再三。本店目前的期間限定為濃厚番茄拉麵、海鮮咖哩沾麵。,11:30~14:30、17:15~20:45,25.027178,121.54347,姿婷王 - 白湯豚骨／赤湯豚骨   https://bit.ly/3689RvY   Is Amy - 白系豚骨   https://bit.ly/3kiBmbX   蔡旻原 - 海湯拉麵   https://bit.ly/3jU8u97,北,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #豚骨魚介 #蕃茄 #咖哩 #2019金賞,瑞安街 / 捷運大安站步行3分,台北市
14,拉麵公子,104台北市中山區八德路二段279號,開業於2019年12月3日，此店為知名拉麵部落客，品嘗各地拉麵吃出心得，轉而開店的範例之一，本店是以雞湯與進階型煮干為主軸的店家，雞湯甘美香醇，煮干苦鮮醇厚，詳情可察看下方網友食記。,11:30~13:30、17:30~20:30無公休 不定休,25.047167,121.541717,Noriaki McMahon - 濃厚豚骨雞白湯   https://bit.ly/3cwoSKN   陳聖諺 - 蘭姆酒濃厚咖哩拉麵   https://bit.ly/3ljJV75   谷祖豪 - 限定蘭姆酒濃厚咖哩拉麵   https://bit.ly/3hfgsJ0,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #雞清 #煮干 #變化,中崙大潤發,台北市
15,麵屋壹慶,10491台北市中山區雙城街32巷2號1 1c號,開業於2018年9月，台灣首間以泡系為主題的店家，豚骨醬油、豚骨塩味、清湯醬油以上三種味道都有其特色，領先市場推出的泡系雞白湯，湯溫心暖醇郁順口，亦有不錯的好評，詳情可察看下方網友食記。,17:00–21:00星期一、日 公休,25.066451,121.523999,Stars Yang - 醬油清湯特盛   https://bit.ly/2Eod94e   李雋恩 - 特盛醬油拉麵   https://bit.ly/3eADd8A   Alicia Yang - 雞白湯拉麵   http://bit.ly/38DVHm9,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #豚骨 #泡系 #醬油 #2019金賞,欣葉台菜餐廳,台北市
16,麵屋壹の穴 ICHI,106台北市大安區延吉街137巷22號,老闆號稱180，除了招牌的魚介湯頭外，亦開發了豚骨、雞湯、煮干、醬油等湯頭，也有日式擔擔麵，是少數可以品嚐到多種拉麵的店家。除了這些之外，壹之穴也有推出大份量的二郎系拉麵，分成壹之二郎與痛風二郎兩種，份量相當大。除此之外，壹之穴除了汁無し擔擔麵以外都可以免費加細麵一次，份量與價格皆相當實在。除了多樣化的拉麵外，其他副食則有相當受到好評的叉燒飯、唐揚雞塊、醃漬小番茄可供選擇。配料的部分叉燒和溏心蛋皆可以加點，中午用餐時段也有優惠的套餐組合。,11:30~15:00，17:30~21:00週一公休,25.041918,121.555236,劉孟誠 - 干貝醬油拉麵   https://bit.ly/38Mi0H4   Stars Yang - 秋刀魚醬油干貝醬拉麵+堅果拌麵   https://bit.ly/31u1fyQ   Zhanyao Zhang - 秋刀魚醬油拉麵   https://bit.ly/2z1e4Vt,北,#ramentw #台灣拉麵愛好會 #拉麵 #油拌麵 #豚骨 #豚骨魚介 #二郎風 #限定 #變化 #2019金賞,華視／捷運國父紀念館站-1號出口,台北市
17,創作拉麵 悠然,10491台北市中山區林森北路487號1 樓 209 室,"店長繼承過往拉麵店家修業經驗，加上自身對於拉麵的詮釋及對品質的堅持，重新定義了""台灣拉麵""一詞。從初期第一碗名為""琢磨""的虱目魚鹽味拉麵，創作了以季節為主的十二碗拉麵，並不時創作以節慶為主的限定拉麵，以嚮麵友們的味蕾。目前是以一週固定只販賣一種拉麵的方式經營，每週販賣品項請參考粉專。",週三~六 17:00~20:00週日 11:00~14:00，17:00~20:00週一~二  公休,25.06138,121.525725,李雋恩 - 辣雞白湯拉麵   https://bit.ly/2GqLGQt   侯懿純 - 煮干醬油雞湯(黑潮)   https://bit.ly/33KLlkq   侯懿純 - 南歐風鹽味清湯   https://bit.ly/2SzMlkQ,北,#ramentw #台灣拉麵愛好會 #淡麗系 #限定 #雞清湯 #2019名店,趣旅館／捷運中山國小站,台北市
18,麵屋武藏本店,100台北市中正區忠孝西路一段36號B1,來自日本的品牌，開啟W湯頭的領航者，位於HOYII和億B2，不同於麵屋武藏-神山，本店以雞白湯頭為主打，有沾麵和拉麵可供選擇。,11:00~22:00,25.04627,121.51703,Yao Shun-yuan - 海老鮮味金瓜沾麵   https://bit.ly/2HFkTQC   邱炳憲 - 牡蠣魚介鹽味拉麵   https://bit.ly/2OXDyHB   陳聖諺 - 限定螃蟹雞白湯   https://bit.ly/36ICLma,北,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #雞白湯  #加麵一球免費 #限定 #變化 #2019名店,添好運／台北車站,
19,道樂屋台,111台北市士林區基河路112號,"""屋台""(やたい,YATAI) 就是所謂的路邊攤，晚上才開始營業，與一般日式居酒屋不同，反而像是台灣的路邊攤，形成福岡當地的特色。道樂屋台是全台最為熱門的屋台之一，不定時出現的限定餐點，也受到麵友們的喜愛。",12:00~14:00、17:00~21:00週一 公休,25.0884,121.5235,Stars Yang - 雞白湯拉麵   https://bit.ly/2QQDkmF   鄭傑瑞 - 豪華豚骨拉麵   https://bit.ly/32ScnVl   莊家豪 - 大雞腿雞白湯拉麵   https://bit.ly/2xOdABu,北,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞湯  #加麵一球免費 #限定 #變化 #2019名店,公有士林市場／劍潭捷運站,
20,道樂ラーメン專門店,111台北市士林區大北路9號,開業於2018年8月，位於士林夜市文林路旁，與原道樂屋台味道迥異的拉麵店，主打平民小吃，屋台風情，店內的豪華豚骨、蛤蜊豚骨、海老豚骨拉麵都有其愛好者，不定時出現的限定餐點，也受到麵友們的喜愛，詳情可察看下方網友食記。,17:00~23:30週一 公休,25.08963,121.52666,Sam Huang - 豪華叉燒拉麵   https://bit.ly/3dHUPQw   Stars Yang - 肋排家系拉麵   http://bit.ly/2W1dXlY   蔡承澔 - 豪華豚骨拉麵   http://bit.ly/2B3TJyZ,北,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞白 #家系 #限定 #變化 #加麵一球免費 #2019名店,士林夜市/捷運士林站步行5分,台北市
21,道樂商店,108台北市萬華區成都路27巷12號,於2020年5月開幕，本店為道樂四店，主打平民小吃，屋台風情，店內的豪華豚骨、蛤蜊豚骨、海老豚骨拉麵都有其愛好者，不定時出現的限定餐點，也受到麵友們的喜愛，詳情可察看下方網友食記。,12:00~14:00、17:00~21:00週一 公休,25.04344,121.50683,Yu-Ro Tsai - 雞白湯拉麵   https://bit.ly/2QPGkjf   TinAn Chen - 雞白湯拉麵   https://bit.ly/3gCIH3H   鄭傑瑞 - 味玉雞白湯拉麵   https://bit.ly/2BHvyHy,北,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞白 #家系 #限定 #變化 #加麵一球免費,美觀園／捷運西門站6號出口,
22,吉天元拉麵店,108台北市萬華區西寧南路70號B1,開業於2018年10月，位於西門町萬年大樓B1，湯頭是以雞白湯為主軸，湯頭濃醇鮮鹹甘，是西門町區域的優選雞白湯拉麵店，主推野菜雞白湯拉麵，不定時會推出限定以嚮麵友們的味蕾，詳情可察看下方網友食記。,週二~五 12:00~15:00、17:00~21:00週六~日 12:00~21:00週一 公休,25.04386,121.50593,Yang Kevin - 野菜雞白湯   https://bit.ly/35Z6FV1   Jimmy Lai - 濃雞白湯，咖哩拉麵，鹽味雞湯   https://bit.ly/2AKBNKE   張正一 - 雞白湯   https://bit.ly/2YfowCZ,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白湯 #泡系 #限定 #2019名店,萬年大樓／捷運西門站步行3分,
23,鷹流拉麵【台灣本店】,106台北市大安區忠孝東路四段216巷27弄14號,來自東京高田馬場，號稱全台最濃厚的鹽味豚骨拉麵，是台灣濃厚豚骨湯頭的先驅，搭配上全粒粉的多加水自家製麵，拉麵風格跟店主鷹峰一樣相當強烈。每個月29日會有叉燒增量的活動，限定拉麵多為每季一次，另外每年年初發售的月曆也是拉麵界盛事。老闆目前在台北六家口味不同的分店，為非連鎖體系中擁有分店最多的。,週一~六 11:30–22:00週日 11:30–21:0010/1起週一~六 17:00～22:00週日 17:00～21:00,25.039743,121.553841,Stars Yang - 鷹流沾麵+筍干   http://bit.ly/2PWbZzz   Sky Walker - 東京醬油豚骨拉麵   http://bit.ly/2vHBVVA   Zhanyao Zhang - 鷹流沾麵   http://bit.ly/2MMc0T1,北,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #豚濃 #限定 #每月29號 #2019名店,明曜百貨／捷運忠孝敦化站,台北市
24,真劍拉麵,106台北市大安區師大路126巷1號,開幕於2018年11月，以鹽味翠雞拉麵擁有的藍色雞湯味湯頭而知名的拉麵店，是台灣IG照片上的常客，店門口吊個沙包也是特色，是屬於師大區域的知名店家，詳情請見下方食記。,11:30~14:00，17:30~21:30有不定休可能，請參閱粉專,25.02165,121.527859,Sky Walker - 醬油雞湯拉麵   https://bit.ly/3kTEcDI   David Lu - 豚骨拉麵+鹽味翠雞+醬油拉麵 https://bit.ly/38oyM0P   陳宥宣 - 豚骨拉麵   https://bit.ly/3mtmr06,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞清 #豚骨 #加麵一球免費 #2019名店,頂好超市／捷運台電大樓站步行1分,台北市
25,雞二拉麵-本店,106台北市大安區文昌街30號,主打超大份量，且價格實惠的雞湯拉麵，主要分成三種分量：小小雞、小雞二、大雞二。大雞二是許多大食量麵友喜愛挑戰的目標，小雞二則適合一般食量的麵友。經典款的拉麵有醬油和鹽味，也有推出如蝦醬雞白湯等特殊口味，若愛吃鹹的麵友，建議味道加鹹，會感覺更加豐厚。,11:30~20:30週日 公休,25.032905,121.549791,Zhanyao Zhang - 鹽味大雞二   https://bit.ly/2X9TfRz   潔西李 - 鹽味大雞二拉麵、醬油大雞二拉麵 https://bit.ly/337U6lc   吳俊青 - 大雞二醬油   http://bit.ly/2LHtq1T,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #雞魚介 #二郎風 #大食 #2019名店,師大附中／捷運信義安和站、大安站,台北市
26,雞二二店,106台北市大安區羅斯福路三段139號,二店開幕於2018年11月26日，主打超大份量，且價格實惠的雞湯拉麵，主要分成三種分量：小小雞、小雞二、大雞二。大雞二是許多大食量麵友喜愛挑戰的目標，小雞二則適合一般食量的麵友。經典款的拉麵有醬油和鹽味，也有推出如蝦醬雞白湯等特殊口味。若愛吃鹹的麵友，建議味道加鹹，會感覺更加豐厚。,11:30~20:30週日 公休,25.021854,121.527181,潔西李 - 鹽味大雞二拉麵、醬油大雞二拉麵 https://bit.ly/337U6lc   吳俊青 - 大雞二醬油   http://bit.ly/2LHtq1T   Stars Yang - 鹽味小小雞   http://bit.ly/2wtNejq,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #雞魚介 #二郎風 #大食 #2019名店,師大商圈／捷運台電大樓站,台北市
27,豚人ラ－メン-敦化本店,10688台北市大安區忠孝東路四段170巷5弄10號,於2018年7月2日試營運，10月3日開幕，本店為豚人台灣本店，此店承襲前夢語店面，是來自京都的拉麵店，主要顧客以學生居多，特色是軟嫩叉燒肉與多樣性的麵條，目前提供三種麵條，以及二郎旁系拉麵，深受大食麵友喜愛，詳情可察看下方網友食記。,週日~四 11:30~21:00(L.O 20:30)週五~六 11:30~27:00(L.O 26:30),25.040762,121.551222,Daidai Huang - 日本昭和風味煮干拉麵   https://bit.ly/309UqBa   Michael Lin - 徹濃豚骨拉麵   https://bit.ly/3gtzo6q   Ayaka Ayatsuji - 徹濃醬油豚骨   https://bit.ly/2CL1JH4,北,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #二郎風 #大食 #2019名店,明曜百貨 / 捷運忠孝敦化站步行3分,台北市
28,豚人ラ－メン-復興店,106台北市大安區大安路一段16巷6號,開業於2020年2月14日，來自京都的拉麵店，特色是軟嫩叉燒肉與多樣性的麵條，目前提供三種麵條，以及二郎旁系拉麵，深受大食麵友喜愛，本店的限定味道為辣味鹽豚骨，亦有不少客人喜愛，詳情可察看下方網友食記。,週一 12:00~15:00、17:00~22:00週二 公休週三 17:00~22:00週四 12:00~15:00、17:00~22:00週五~六 12:00~15:00、17:00~26:00週日 12:00~15:00、17:00~22:00,25.044347,121.545903,黃友廷 - 明太子in醇厚豚骨拉麵   https://bit.ly/3o3rYKz   Michael Lin - 煮干豚骨拉麵   https://bit.ly/2GOxtgf   Chih-Hao Chen - 涼拉麵   https://bit.ly/3mZHI1A,北,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #二郎風 #限定,大安路／捷運忠孝復興站步行3分,台北市
29,鳥人拉麵-台灣總店TOTTO Ramen,106台北市大安區復興南路一段107巷5弄9號,來自紐約的雞湯名店，此間為台灣總本店，品項有雞湯、雞湯味噌，與一般少見的，以蔬菜打底的素食拉麵，低溫雞叉燒與一般的豬肉叉燒都相當可口，辣味噌與味噌品項更是適合重口味人士；此外特定營業日其營業時段直至凌晨4點，相當適合晚歸的朋友在凌晨來一碗熱呼呼的拉麵提振心情。,週日~四 : 11:30~22:00週五~六 : 11:30~28:00,25.044163,121.544382,Max Lin - 白湯拉麵   https://bit.ly/2PDJuVF   Una Weng - 白湯拉麵   https://bit.ly/2NgtEP0   江元裕 - 白湯拉麵   https://bit.ly/2Nv2IuN,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #咖哩  #每月17日 #2019名店,微風廣場／捷運忠孝復興站-5號出口,台北市
30,Totto Ramen 鳥人拉麵-西門店,108台北市萬華區中華路一段114巷3號,來自紐約的雞湯名店，此間為第三家分店，品項有雞湯、雞湯味噌，與一般少見的，以蔬菜打底的素食拉麵，低溫雞叉燒與一般的豬肉叉燒都相當可口，辣味噌與味噌品項更是適合重口味人士；此外特定營業日其營業時段直至凌晨4點，相當適合晚歸的朋友在凌晨來一碗熱呼呼的拉麵提振心情。,週日~一 : 11:30–22:00週五~六 : 11:30–28:00,25.043942,121.508222,Chih-Hung Weng - 鳥人蔬菜拉麵   https://bit.ly/2MyQaWQ   陳逸凡 - 鳥人白湯   https://bit.ly/2woCwL8,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #咖哩 #2019名店,西門町佳佳唱片行／捷運西門站-6號出口步行2分,台北市
31,Totto Ramen 鳥人拉麵-中山店,10491台北市中山區中山北路一段105巷7號,來自紐約的雞湯名店，此間為二店，服務的客人大多是以七條通的客人為主，品項有雞湯、雞湯味噌，與一般少見的，以蔬菜打底的素食拉麵，低溫雞叉燒與一般的豬肉叉燒都相當可口，辣味噌與味噌品項更是適合種口味人士；此外特定營業日其營業時段直至凌晨4點，相當適合晚歸的朋友在凌晨來一碗熱呼呼的拉麵提振心情。,週日~一 : 11:30~22:00週二~六 : 11:30~28:00,25.05111,121.52287,Chih-Hung Weng - 鳥人蔬菜拉麵   https://bit.ly/2MyQaWQ   陳逸凡 - 鳥人白湯   https://bit.ly/2woCwL8,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #咖哩 #素食 #2019名店,新光三越台北南西館／捷運中山站-2號出口,
32,麵屋昕家,114台北市內湖區東湖路24號,開業於2019年9月，修業自麵屋真登，湯頭屬於雞湯系味道舒服和緩的路線，詳情可察看下方網友食記。,週二~四 17:00~20:30週五~日 11:30~13:30、17:00~20:30週一 公休,25.068746,121.612793,Stars Yang - 雞白湯玉子拉麵 https://bit.ly/353t6Y1   A Hsun Chen - 特製背脂醬油拉麵 https://bit.ly/370IfZJ   蔡旻原 - 醬油拉麵   http://bit.ly/2Ixi4Ox,北,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #雞清 #泡系 #醬油 #限定 #變化,東湖康寧路／捷運東湖站,台北市
33,橫濱家系ラーメン大和家,106台北市大安區市民大道四段12號,日本發祥台灣初上陸「橫濱家系大和家拉麵」是直營的拉麵連鎖店，在日本目前擁有11家分店，且持續擴大中。“最強家系拉麵”在競爭激烈的日本拉麵市場中，期望以濃厚豚骨醬油湯頭、Q彈中粗直條麵，自豪的橫濱家系大和家拉麵能成為拉麵業界NO.1，因此將滿腔熱血化為文字，朝「家系最強」目標邁進。,11:30–22:30,25.04464,121.544384,吳俊青 - 沾麵   https://bit.ly/2MOuIcO,北,#ramentw #台灣拉麵愛好會 #拉麵 #家系 #豚骨 #每月1號 #每月20號 #2019名店,微風廣場／捷運忠孝復興站,台北市
