post_id,store_id,stores,create_on,ramen_name,fb_review
T300011,1,LeMing麵食精釀餐酒館,2020-07-10,切達鮭魚干貝雞湯拉麵300,配置無交通:中山站很時髦的餐酒館拉麵出張版，本來想點海老魚介沾麵告知賣完，改成切達鮭魚拉麵，同行我弟點了松露干貝雞湯拉麵。湯頭個人喜歡的程度是切達干貝雞湯>干貝雞湯>加了松露的干貝雞湯。主打干貝雞湯，可惜干貝的味道蓋過雞湯，松露加下去後更喝不到雞湯味，反而是加鮮奶油之後平衡了鮮味/油脂/鹹淡，足稱美味。細麵的硬度很好，恰如其分不搶戲，麵搭著湯吃到最後一口都滿意。配料舒肥雞胸略老，炙燒鮭魚與麵湯都不搭令人不知所云，細蔥木耳溏心蛋都沒有加分，一碗300+10的加法糟糕示範，用減法哲學做這碗麵就好，麵跟湯作為主角已經有不錯的表現...
T300012,1,LeMing麵食精釀餐酒館,2020-10-10,松露干貝雞拉麵300,配置麵碗已含黑木耳、蔥絲、溏心蛋半顆、蓮藕片1片、松露醬一小匙、舒肥雞胸肉約莫5片、北海道生食級干貝2+1顆(多1顆是加入會員贈送的活動)、加點唰嘴手羽先180元，坐靠窗鄰近地點:之前看別人分享食記，就對LeMing的拉麵很感興趣，剛好有優惠餐券，所以決定嚐嚐。到店裡的時候，可能營業時間才開始沒多久，所以還沒有客人，之後我和朋友點餐結束後就陸續進來不少人了，裝潢讓人感覺很舒服，是適合小週末跟好友來聚餐哈啦的餐廳。本來有被黑咖哩和番茄沾麵吸引，但鑑於山嵐的經驗，我決定還是先從拉麵類開始比較好。大概等了1015分鐘麵才上桌...
T300013,3,Ramen初ui拉麵外送版,2020-08-14,溏心蛋豚骨拉麵245元,配置正常！個人心目中鳳山拉麵第一名的初ui終於開放UBEREat外送了！一解無法前往(明明就是‘懶’)的人拉麵癮雖然是外送版，很多剋制化沒法弄，而且沒有叉燒飯但整體而言還是那個好味道...
T300014,3,Ramen初ui拉麵,2020-08-16,醬油豚骨拉麵(外送215+外送費15)拉麵,配置粗麵全高雄最強大的外送拉麵週四早上聽麵友進榮說高雄拉麵四大天王南高雄拉麵霸主 Ramen初:已經開始推出外送拉麵在ubereats平臺上架了所以當天早上知道晚上就手刀下單了送來一樣超濃鬱好吃這應該是全高雄最強的外送拉麵了！拉麵送來是用常見的紙碗裝著但湯底那碗完全沒有溢出來的狀況！這點真的值得稱讚！！每次看到外送的東西湯湯水水溢出來塑膠袋整個都是我會莫名抓狂不太能忍受週四早上聽麵友進榮說高雄拉麵四大天王南高雄拉麵霸主 Ramen初:已經開始推出外送拉麵在ubereats平臺上架了所以當天早上知道晚上就手刀下單了送...
T300015,3,RAMEN初ui左營新光三越店,2020-12-02,特製豚骨拉麵鹽味粗麵/迷你叉燒飯,看到初開新的分店 想說今天剛好路過就去吃 不過要我直接說的話 老實說還蠻讓我失望的 跟鳳山本店的比起來的話我有特別問說麵能不能硬 然後他說粗麵的話還是可以幫我用硬一點 店員有問我有沒有吃過本店 然而上餐來的時候 我是不確定這個是不是他們的粗麵 但是 麵體非常軟爛 我咬下去整個感覺是糊的 我這種拉麵能多硬就有多硬的人吃下去就不開心了而且不知道是不是煮太爛 好像不大像是常見的拉麵麵條 不如說我打工的臺式餐館麵條就像這種 然後湯頭整體的部分也是偏淡 跟鳳山的比起來的話老實說沒有那種很濃的感覺 糖心蛋的部分倒是不錯 叉燒飯也中
T300016,4,鳥人拉麵西門店,2020-05-30,限定淡麗煮干雞湯拉麵240,配置正常從隱家2店走到鳥人西門店，40分鐘滿身大汗！先說說拉麵上的三枚小丁香很有意思，原以為是熬湯下的產物，只是要強調煮干，但這三枚丁香風味依舊在，且有蜜汁的甜味，像杏仁小魚那種。淡麗煮干雞湯，在清析甘甜的雞湯中，有著淡淡地一抹魚乾味，不是那種突兀的海鮮腥味，讓這湯頭奔棒der，迅速喝了幾口，湯麵變沾麵。鳥人的細麵一直以來我很喜歡，些微的硬度，富有嚼感，有牙齒咬斷麵條的口感。軟嫩的雞叉燒，及有勾勾感的糖心蛋。...
T300017,4,鳥人拉麵西門店,2020-08-22,鳥人咖哩拉麵290,配置白飯+20先說結論，整體來說這次的用餐體驗有點差。第一次來鳥人西門店，沒想到晚上八點多了還是稍微等了一下。進到店裡被分在吧檯的鄰近地點:，翻到菜單第二頁驚喜的發現有少見的咖哩拉麵，讓我想起北海道繼札幌味噌、旭川醬油、函館鹽味以外的傳說中第四大拉麵—室蘭咖哩。期待著能再次品嘗到去年留學期間吃的咖哩拉麵滋味，雖然價格稍高還是決定點了。等待拉麵時候，想要喝水愕然發現水竟然是室溫，詢問店員被告知今天的客人有點多，所以製冰來不及，雖然有點不快但也無可奈何。拉麵上桌，喝了一口湯頭，溫度略燙口令人滿意，咖哩的濃鬱香氣也還不錯，麵條...
T300018,4,TottoRamen鳥人拉麵,2020-09-24,特製鳥人白湯拉麵(豚)/.230,配置預設看了看GoogleMap的紀錄，才發現兩年沒吃鳥人了。以當年雞白湯還沒那麼盛行的時候，鳥人可以算是先驅。而且鳥人是從美國開過來的日本拉麵，算相當特別。特製鳥人白湯拉麵Z配置雞肉丸、叉燒*2、海苔、筍片、蔥絲。雞白湯很濃鬱，味道跟記憶中的一樣，略帶奶味。叉燒可選擇要豬叉燒或雞叉燒，而豬叉燒的配置是兩塊叉燒肉和少許碎肉，叉燒有經過炙燒把焦香逼出來。雞肉丸子還不錯，但不向麵屋千雲那樣有放入雞軟骨，口感上較一般。麵條鹼水味似乎沒有以前那麼重，但也沒有太多記憶點。滿分10分我會給8.5分，基本款還是一樣好吃。過了兩年美味依然...
T300019,4,鳥人拉麵中山店,2020-08-17,特製雞白湯拉麵,配置細麵為了看“拉麵狂”，今天從臺中跑上去臺北。到臺北已經2:30，可惜鬼金棒已午休，去五之神又可能來不及。最終所以選了鳥人，因為不用擔心午休的問題。點了特製雞白湯拉麵，湯頭雞味濃厚，鹹度應該是日本鹹。雞叉燒有4片，也有一定厚度，挺大方的店家，味道不錯，黑胡椒味有一點點重，沒有驚喜。雞肉丸子裡面有雞軟骨，口感有層次但香料的味道有點不太搭。筍片跟麵條都一般般。個人覺得算得上合格的店家。...
T300020,4,TottoRamen鳥人拉麵西門店,2020-09-18,"特製鳥人白湯拉麵(雞)+塘心蛋""/.230",+30配置蔥絲海苔雞叉燒加倍後5片兩顆雞肉丸筍片塘心蛋每月17日食雞之日。拉麵及加點雞肉叉燒時，雞肉叉燒變雙倍量桌上有辣椒粉和蒜頭脆片可加1250經過花月嵐約八成滿1300經過吉天元約三成滿西門町很多家拉麵平日中午都空空的生意真難做呀原本想等天氣在更冷的時候去但想吃悠然限定所以就出門了桌上有辣椒粉和蒜頭脆片可加1250經過花月嵐約八成滿1300經過吉天元約三成滿西門町很多家拉麵平日中午都空空的生意真難做呀原本想等天氣在更冷的時候去但想吃悠然限定所以就出門了...
T300021,5,板橋一幻,2020-11-18,濃厚豚骨鹽味拉麵拉麵,配置粗麵排隊狀況:約10分難得經過板橋一帶差點忘了有合作的一幻第二次嚐味道依舊不變嚴重警告有對甲殼素或海鮮過敏的麵友們不要嘗試會出事啊...
T300022,5,一幻拉麵,2020-07-04,適量豚骨、鮮蝦味噌,配置蝦味飯糰趁著逛展順便來吃雖然不常吃蝦味但是以前吃的蝦味拉麵都沒有留下印象直到這次的一幻湯頭蝦味濃厚外適量豚骨帶出厚度加上些許甜味實在很討喜叉燒香氣十足雖然加點了還是吃不過癮啊改點細麵口感很爽口吃完感覺五郎上身又加點了蝦味飯糰果然是不錯的推薦好笑的後到的隔壁小哥也被我傳染一樣被五郎上身吃完麵再加點飯糰^^直到這次的一幻湯頭蝦味濃厚外適量豚骨帶出厚度加上些許甜味實在很討喜...
T300023,6,一本拉麵梟文化店,2020-06-20,本創武藏叉燒豚骨拉麵(300,配置蒜/標準因為一本因為沒有中途休息時間，所以從他們多年前在崛江原宿的舊址到現在，都是拉麵店休時間嘴饞時必訪解饞的拉麵店！算是從他們5年前開業吃到現在吧？！是我真正開始吃純豚骨沒有加其他辣椒什麼的，我的第一碗的原味豚骨啟蒙拉麵(其實我人生的第一碗拉麵是很小時候吃的京屋)，當年拉麵在高雄還沒有這麼多的時候，吃到那碗 本多原湯拉麵:，讓我從此愛上吃原味的豚骨拉麵！－－－－－－－－－－－－－－－－－－－－一直覺得他們 臺灣ラーメン組っ:人物 一本木一女:，覺得超可愛的！臺灣拉麵組另一個喜歡的就是鷹流本店的人物了！當時還有人評論他...
T300024,6,一本拉麵梟,2020-05-24,本創叉燒武藏豚骨拉麵+嫩雞叉燒飯,配置麵硬、蒜普通、叉燒飯不加美乃滋湯頭偏油偏濃稠，但調味偏淡，雖有用噴槍炙燒處理，但香氣不若吉胤家那般明顯，喝起來就一般你可以想像的蒜味豚骨口感，即便加入不少的洋蔥丁跟蔥花，但喝來就沒有太多層次感，細麵麵條軟硬度偏軟(後續加麵有再要求硬一點，感覺硬度就有出來)，口感普通，而且加麵一次20元只給60g，大概筷子夾兩次就沒有，然後是你要把碗拿上去臺子上(臺子有點高)，不是用碟子盛上，(可能塑膠碟子成本較高？)筍乾偏薄口感亦屬軟爛，溏心蛋是膏狀，但熟度偏熟一些，沒有香氣，而且不能要求不對切的，叉燒肉肥瘦適中，口感不乾柴，厚度不算...
T300025,6,一本拉麵,2020-07-07,Sp雞白原湯(中盛250,"配置無調整提早了5分鐘到門口,發現還是準備中,等了快8分鐘,才發現裡面早已坐了7成,店內兩個店員而已,忙到連木牌都沒空去翻.....內容有雞叉燒3片、豬叉燒2片、香菇一朵、糖心蛋半顆玉米筍、金針花、洋蔥少許，海苔一片,整碗擺盤讓人很有食慾.雞白湯已經到了雞農湯的等級卻因為是雞湯的關係,並不會膩口,捲麵麵條大約是稍硬,有咬感但不會生硬,掛湯能力還不錯.雞肉叉燒粉嫩不會軟爛,還是有咀嚼雞肉的感覺,而豬肉叉燒,也是粉嫩口感,不會乾柴,味道也沒有滷太重,保有豬肉味而沒有豬騷味.配菜整體都很平衡也很不錯,沒有萬惡的罐頭玉米粒及待鹼水..."
T300026,6,一本拉麵,2020-10-01,雞白原湯(麵硬)190,晚上拜訪完朋友再衝一間，因為真的很少機會來高屏。相較傍晚拉麵山田的雞湯，一本拉麵的湯頭是完全不同的走向，少了油味多了濃縮的肉味，不知道是因為鼻子過敏還怎麼的，喝起來竟感覺有點像是玉米濃湯的風味？！豬、雞的叉燒不錯，尤其是雞肉並非用舒肥而是燒烤，帶點獨特的香氣還挺不錯的。捲麵麵硬口感不錯，溏心蛋也ok，有一定的水準。整體而言挺不錯的，但今天心中的第一名已經被山田所佔據...
T300027,6,一本拉麵,2020-10-18,SP雞白原湯大盛300,配置加麵20欸嘿又是我今天雞湯癮蠢蠢欲動？突然想到我還沒吃過一本就來試試不試還好一試不得了湯的味道很利索一點多餘的味道都沒有成色很美看的出很濃味足上面的紫洋蔥處理的很好不嗆味道伴隨著碗的設計喝到最後一口湯一口洋蔥解膩又舒服大盛一次就有兩種叉燒豬+雞賊爽雞叉燒的皮是炙烤過的那個香味配上軟嫩的肉吃好吃滿整個吃完我感覺還沒飽小鳥胃份量慎選畢竟本肥宅的食量沒辦法參考建議大家都可以來ㄘ一波湯的味道很利索一點多餘的味道都沒有成色很美看的出很濃味足上面的紫洋蔥處理的很好不嗆味道伴隨著碗的設計喝到最後一口湯一口洋蔥解膩又舒服...
T300028,8,一風堂,2020-11-21,五條ブラック醤油つけ麵,配置冰鎮麵感覺好像沒有人發過這個的食記就來發個昨天半夜朋友要吃晚餐就去中山神山人滿滿，放棄；鳥人根本不打算，放棄最後又走回一風堂在富山黑拉麵撤到只剩桃機店時黑醬油感覺就變得十分少見了品項會以五條命名，應該不是看了什麼咒術迴戰而是店處於五條通的鄰近地點:麵採用算細麵的，但說實在Q度比不上其他有沾麵店家，即使有冰過也沒有彈牙感及嚼勁，個人實在沒有很喜歡。有趣的地方應該是在沾湯吃起來好像在沾甜醬油的感覺欸呃他整個沾湯甜到我嚐不出高湯味道湯割後才後才比較正常一些些但最後還是不想喝完那碗沾汁==嗯，只能說一風堂就是一風堂對面朋友的...
T300029,9,中華そば寶來軒,2020-08-09,德島拉麵(附白飯)/270,配置店家的鹹度無提供調整麵條可調整，但店家做比較硬的鹹度因此沒有另外再要求調整回北臺南以後目前就是處於附近沒有拉麵店家下班後也累到無法去市區或嘉義吃麵因此只剩下假日兼差會到市區時能在車站周遭吃他一頓了第一次吃寶來軒的德島...
T300030,9,中華そば寶來軒,2017-12-14,辛蔥中華SBA270,配置無調整延伸:#臺南行軍拉麵行#運拉幫#運行11號公車9KM#一天三碗寶來軒12月推出:德島拉麵、味噌拉麵沾麵停賣水、調味料自取終於可以下臺南了，感覺好久沒去了。每次去臺南都是我的拉麵苦行之旅，因為是去行軍然後又吃的很撐。XD出發前一天就已經安排好要怎麼運行11公車走這一趟行程會比較順~第一站當然就是先去連德堂買我超喜歡的煎餅，然後要買:雞蛋口味的！紮實，而且越吃越咀嚼越香，是很喜歡的味道。不過一個人只能買2包，而且一天販售的量很少賣完就明天請早，所以我每次去臺南都是先安排這裡，哈哈~買完之後發現時間還早去寶來軒一定當頭...
T300031,9,中華そば寶來軒,2020-08-21,濃厚中華SBA250,配置麵硬臺南很多拉麵店都休一、二所以想吃拉麵常常會跑來寶來軒或是豚骨家這間一樣已經吃到不知道要吃什麼但想吃拉麵時還是會默默出現在店裡這次選擇豚骨+雞骨，味道沒有純豚骨來的濃厚湯喝起來是較清爽不粘脣的肉我習慣加點，厚度足夠的五花肉咬起來真的很滿足有淡淡的肉香與鹹味，是稱職的叉燒寶來軒細麵的表現一直都不錯每次來都選最硬，目前還沒吃過失誤的來這習慣會點上一碗叉燒飯麵吃完後再把飯倒入湯裡又是另一種享受第二次發文請大家多多指教看著板上各位大神吃遍各地拉麵，心得文也寫得非常誘人期許有朝一日我也能寫出像樣的心得文...
T300032,9,中華そば寶來軒,2020-09-03,熊本拉麵240,配置麵硬一如往常，又是寶來軒實在是休假日離家最近後有開的豚骨拉麵店就是他可能也是吃慣了不知道吃什麼的時候就會來一碗熊本拉麵，一樣是豚骨湯頭但加入了黑蒜油，多一份香氣個人不喜歡拌開吃，直接吃更能感受到油的香味蒜油配上溏心蛋、叉燒都意外的合拍是轉換口味的好幫手只是這天溏心蛋過熟，實在不能稱之為溏心蛋了但湯頭、硬麵跟叉燒還是一如往常的水準之上這天用餐剛好遇上極大的午後雷陣雨店員也很好心的借傘跟請我多在店裡坐一會兒可以感受到那是發自內心的關心備感溫馨不知道吃什麼的時候就會來一碗熊本拉麵，一樣是豚骨湯頭但加入了黑蒜油，多一份香氣個人...
T300033,11,力量拉麵內湖店,2020-07-13,豚骨醬油拉麵220,配置超硬老闆主打的是中藥配上日式湯頭所以其實喝湯的時候確實可以感覺到明顯的不一樣然而不一樣是因為沒味道它的湯頭口味非常平淡雖有藥燉香氣殘留口中但整體而言過於平淡可以想見店主當初希望在日式的重口味豚骨醬油湯頭與中視的藥燉湯頭間做出綜合卻終究推出的是妥協也就導致兩方都沒有做好因此必須遺憾的說至少它的豚骨醬油湯頭不大成功至於麵條就更平淡了有點像是40元麵攤的陽春細麵條真的感覺不到特色不是說陽春麵不好但出現在拉麵店就...也滿突兀的順帶這家店偏硬是40秒當時跟店員點超硬30秒煮好後店員說可能看起來有點生可我吃進去還是軟趴趴的這讓我...
T300034,13,太陽蕃茄拉麵,2020-07-19,蕃茄胡麻雞冷麵(260,雞骨白湯鮮蔬拉麵(240)/半麵系列太陽拉麵(130)/紅酒醬牛肉飯(220)/素太陽鮮蔬拉麵(190)、鮮蔬歐姆蕃茄咖哩飯(240)Z配置無/有肉、送飲料/送溏心蛋/送迷你飯/送炸雞/辣味咖哩先說這篇比較像是店家推廣及活動心得文，商品口味若非特殊品項則不多做贅述以免大家看到睡著。活動內容詳情請參照以下連結:粉絲大募集活動https://reurl.cc/E7x8jK對於獲得店家拉麵碗來說，這算是相對比較容易的一間，於是找一天下班就開始衝了7/16:因本人貓舌頭相當怕燙，第一天先從忠孝店爽口的冷麵開始攻略，帶有咬勁的Q麵條...
T300035,13,太陽蕃茄拉麵,2020-11-08,太陽海味蝦拉麵260,配置日本味，改成寬麵，免費加麵，70小菜優惠(咖哩可樂餅+毛豆)太陽蕃茄拉麵的服務好，店員熱心親切，且不用加服務費！現在點餐的方式是用你自己的手機點菜，待位後，店員會遞上一張小紙二維條碼，等快15分鐘喝了三杯茶，店員才注意到我還沒有點菜，走來向我親切的述說點菜方式。太陽拉麵奉的飲水，是無糖綠茶，很淡的綠茶，比起有些店使用過濾水，還要周道。拉麵送上桌，撲鼻而來是淡淡的鮮蝦味，及些許蕃茄味。(類似羅宋湯)湯頭嚐得到濃鬱的蝦味，後韻是稠密的番茄汁，且會燙口，非常好喝，菜單上有特別註明小辣，完全嚐不到辣味，如果辣味可以再強烈點，也...
T300036,13,太陽蕃茄拉麵,2020-07-29,雞骨白湯拉麵x2、太陽拉麵x1190,配置基本配置，麵加大上週末做了一件只有在日本會做的事，兩天之內吃了三碗拉麵。為什麼會這樣，一切的源頭來自蒐集的慾望發作了，加上朋友願意幫忙，於是就這樣完成了。來說一下吃了這三碗麵的Z雞骨白湯拉麵，喝了一口湯有清新的感覺，麵條也適中，後來跟朋友討論起來，她的形容是像“陽春麵的湯”，聽到這一句真的深得我心，無法再更認同了。太陽拉麵，定番無誤，但不知道為什麼吃完後整個超口渴。整體感想，拉麵有一定水準，咖哩飯也不錯吃。...
T300037,13,太陽番茄拉麵,2020-08-02,青醬起司拉麵配置混合麵日本味心得二訪太陽番茄拉麵這次的,感覺沒有上次那麼好湯匙沒有洗乾淨應該是起司乾掉的痕跡不過那個起司確實不好洗就是了這間的特色是素食跟吃起來很像義大利麵這次的青醬也沒有讓我失望青醬的味道很濃鬱起司加的很多不過青醬跟起司吃起來似乎沒有那麼搭比較喜歡他們的番茄系列青醬的小缺點是賣相沒這麼好或許上面可以多放點完整的蔬菜(?)下次想去吃吃他們的番茄咖哩拉麵滿好奇他們咖哩的味道...
T300038,13,太陽拉麵站前店,2020-05-31,番茄胡麻雞冷麵/260,配置基本配置。(菜單上的水菜缺貨，豆苗代替)麵條Q彈很可以醬汁:番茄、胡麻醬、小麻(？)辣等～都到位(要攪拌均勻)我覺得是少一味，但我還是吃光光，結帳時服務生有問，我據實以告，結果一位口音有點不一樣的公關跑來謝我說，還在測試中，老闆剛好來試吃(距離不遠他應該有聽到)，有點捨不得走，因為好想跟他討論。所以好不好吃先別急著評論，因為口感還沒調好。反正夏天都有，下次再來檢查。以上屬個人評論，提供參考～...
T300039,14,奧特拉麵RamenUltra,2020-01-08,豬背脂味玉香鹽拉麵240,配置日本味、麵硬，迷你南蠻炸雞丼套餐100(無單點)延伸:無這天下班懶得往臺北跑，突然想到板橋車站樓下開了這家新的店，就去踩個點。很久之前在桃園華泰utlet吃過一次雞玉錦，當時是覺得還好，後來他們在101開分店評價不佳，這次以新的品牌出現在板橋，激起我一些興趣。吃飯時間車站美食街人潮多，旁邊樂麵屋仍是排隊熱門店，這家雖然新開幕卻還是坐滿人，不過排隊人數就相對少了點，對於拉麵店開在美食街通常都會有雷的風險，但如果店家有分配到單獨的鄰近地點:就能期待一下。剛看菜單原本想吃濃鬱型的雞白湯，當我翻到鹽味雞湯即改變心意，很罕見會...
T300040,14,奧特拉麵RamenUltra,2020-05-20,醬油味玉拉麵230加半麵20。香鹽拉麵200,配置日本味、麵硬用餐場所冷氣很不冷，吃到一半開始流汗這家開一陣子了，一直沒想吃，因為價格還要再加10服務費。今天剛好老公想吃拉麵才來。鹽味拉麵非常中規中矩，所有都不錯，沒有雷麵條是滑且Q彈的(吃起來不粉)叉燒很入味無豬臭味，口感也剛好青蔥是刮開成絲的，吃起來完全不嗆辣反而帶出甜味紫洋蔥剛好大小吃出嗆脆甜筍絲(對！不是筍乾片)太少了所有沒啥印象湯頭淡雅好喝，但吃不出有啥原料，有看到七味粉醬油拉麵溏心蛋好吃入味蛋黃剛剛好湯頭很微妙，醬油味很淡，口味比鹽味拉麵還淡有送一份小菜(原因不明)海帶絲還蠻好吃的，有口感成分應該是白醋味霖...
