,Description,published
10,"▎店家：吾妻拉麵うちラーメン
 ▎區域／鄰近地點：嘉義市西區北港路43號 (蚵庄海產 
                                 旁的轉角
 ▎用餐時間：2020/12/02  20:30 
 ▎排隊狀況：無
 ▎拉麵名稱／價格：原味雞白湯拉麵+雞叉燒
 ▎完食感受：最近好像雞白湯又火紅了起來，連一些連鎖丼飯都有在賣雞白湯，也因為第一次吃雞白湯是在某連鎖丼飯，所以對雞白湯的印像並不是說很好~ XD
 但吾妻拉麵うちラーメン就真的好吃了，是日式拉麵濃湯的風格(嘉義還是很多偏台式的)。湯喝起來相當的濃郁順口，跟麵合體後，好吃到忘記拍麵的照片。
 雞叉燒像是舒肥過後再炙燒的感覺。
 下次會在試試其他的口味，裡面的帥哥老闆是推薦我辣味的，下次就來試辣味的吧，雞叉燒相當值得再點一份加在麵裡。因為相當的好吃喔!
 繼山越拉麵、麺屋木心 (目前休息中)，總有又有一家有道地日式風味的拉麵了。",2 小時
12,身為五之神駐日人員(假的)，有空都會盡量跑來吃限定這次在事前就得到情報知道是羊煮干，當下我沒聽懂還以為ラム在說什麼魚的名字，知道是羊之後覺得很神奇也很感興趣拉麵通常作法是碗先加入醬底、香味油，最後才倒入湯(沒有絕對，不過這種作法比較多)，不過這碗我看他在做的時候是倒入湯之後，才在上面加一大瓢油上桌之後，我先聞一下，超級濃的羊味，我個人是覺得所謂羊騷味也有味道重跟淺的，重的就會像腥味一樣讓人很反感，不過這個是味道特徵明顯但不是讓人討厭的味道，就像保養品的綿羊油一樣(當然不喜歡羊的人聞到一樣很反感吧)喝起來則是滿滿的煮干香，幾乎沒有羊的氣味在。後來詢問確認了一下，上面淋的是羊油，難怪聞起來那麼明顯，但是喝起來卻幾乎沒有羊的氣味，非常有趣的呈現手法上面的三種肉分別是：羊叉燒，油封羊舌，燒烤羊心羊舌跟羊心我也是第一次吃到，不過調理得軟嫩很好入口，味道也很棒，湯頭煮干的香跟鮮甜，配合醬油喝起來有不錯的鮮甜感，是我很喜歡而且很有趣的一個成品,8 小時
13,"▎店家： 勝王 ▎區域／鄰近地點：王子飯店 ▎用餐時間：2020/12/01 12:30 ▎排隊狀況：停到車格下車直接進店賞味 ▎拉麵名稱／價格：煎り酒（鹽醬）肉骨茶柳麵 $300 + 澳洲和牛背肩$60
 ▎完食感受： 雨天特意繞過勝王，強運到門前停好車直接入席！進門後還是不敢相信居然可以不必淋雨排隊～哈哈。驚訝的嘴巴開開點了餐坐進自己的格子裡，我的煎り酒（鹽醬）肉骨茶柳麵很快就來了～… 更多 第一口湯頭，藥膳的香氣在鼻腔間散開，煎酒完全不搶戲的搭配著蔓延～ 很快的夾了叉燒品嚐一番，再沾了湯汁搭配著細麵入喉！真的恨不得連舌頭都吞進去～ 單點了和牛，光看賣像的色澤就超級美味，咬下去軟嫩完全感受到烹煮的用心程度！ 最後多加了一球麵，眼看著快逝去的湯，懷疑了一下，但是替玉後，就像沾麵的快感！！從湯麵到沾麵雙享，佩服勝王的用心，搭配七味粉的辛香，絕對是上乘的體驗！ 勝王拉麵。拉麵勝王 對得起食材，才是烹調最高的敬意！
 原檔影片 https://youtu.be/pNghtZb3ffM  第一口湯頭，藥膳的香氣在鼻腔間散開，煎酒完全不搶戲的搭配著蔓延～ 很快的夾了叉燒品嚐一番，再沾了湯汁搭配著細麵入喉！真的恨不得連舌頭都吞進去～ 單點了和牛，光看賣像的色澤就超級美味，咬下去軟嫩完全感受到烹煮的用心程度！ 最後多加了一球麵，眼看著快逝去的湯，懷疑了一下，但是替玉後，就像沾麵的快感！！從湯麵到沾麵雙享，佩服勝王的用心，搭配七味粉的辛香，絕對是上乘的體驗！ 勝王拉麵。拉麵勝王 對得起食材，才是烹調最高的敬意！",12月1日下午4:47
14,"▎店家：麵屋秋匠 ▎區域／鄰近地點：忠孝復興站11號出口 ▎用餐時間：11/20 19:00 ▎排隊狀況：無，直接入座 ▎拉麵名稱／價格：豚骨蝦油拉麵$270 ▎配置：筍絲（多）、蔥花、叉燒*2 、豌豆、白芝麻、半顆溏心蛋、豆芽菜（多）
 「每一口都喝得到蝦的精華，應該就是冬季裡的大滿足吧！✨」
 純蝦油拉麵跟豚骨蝦真不知道怎麼選，… 更多 兩個都想嚐 猶豫很久直接試豚骨蝦啦！
 湯頭的海鮮蝦味也不會太重， 重點不油膩！！很清爽⋯搭配細心剝好的甜蝦（真ㄉ甜！不甜我給你打（欸）） 🦐（已去泥腸）真的很順口！！
 &第一次吃到配碗豆的拉麵覺得新鮮😋 筍絲也料理的很好吃不會沒味道 （而且老闆給的份量很多XDD 愛死）
 白芝麻也很提味 整碗就是標準日式配置 難怪麵友都說看到秋匠先給讚👍
 我要給100個讚啦 日本🇯🇵老闆服務也超親切的 好拉麵 不來訪嗎？☺️  兩個都想嚐 猶豫很久直接試豚骨蝦啦！",11月20日下午7:52
15,店家：誘屋拉麵 區域：台中市 用餐時間：12/01 排隊狀況：不用排隊 拉麵名稱／價格：海老湯底叉燒拉麵日本味170元 心得感想：湯頭有著濃郁蝦膏味不會太淡大口吸允湯汁附著的麵條厚實的叉燒肉親民的價格十分推薦 老闆也熱衷於拉麵人親切又用心推薦👍👍,12月1日下午10:52
16,"店家：拉麵公子 鄰近地區：豬內臟本舖 時間：11/29 排隊狀況：開店前40分到 第16位 後面排爆 品項：限定！濃厚蝦蝦雞白湯拉麵+奶油烤蝦一尾 360元
 慶祝去吃不知道幾次定番跟限定後 第一次被公子本人攀談 只好來發個文壓壓驚
 應該是目前排公子限定最誇張的一次 以往連排勝王跟雞吉君好像都沒有開店前半小時來排不到第一輪的 這蝦蝦的威力也太猛了吧
 喝完第一口的感想 ""這也太蝦了吧"" 但隨即而來的就是公子濃湯系一貫的芳醇 濃厚卻不膩 連女友都能整碗湯喝光的美味 酒味蝦丸真的是配湯好物 輕咬一口再配上一口湯 非常提鮮 偶爾來上一點的紫洋蔥辛辣讓整碗麵更耐吃 今日的糖心蛋也是完美的膏狀 太舒服啦這碗~~~
 蠻妙的一點是晚上限定應該是30碗吧 我們第16個進去居然還剩26碗 原來很多人都不是來排限定的嗎??",11月29日下午9:06
17,"店家：RAMEN 初ui 左營新光三越店 區域：高雄市左營區(鄰近高鐵左營站) 用餐時間：12/02 排隊狀況：不用排隊(看號碼我應該是今天第一位客人) 拉麵名稱／價格：特製豚骨拉麵 鹽味粗麵 /迷你叉燒飯 心得感想： 看到初開新的分店，想說今天剛好路過就去吃，不過要我直接說的話，老實說還蠻讓我失望的，跟鳳山本店的比起來的話… 更多 我有特別問說麵能不能硬，然後他說粗麵的話還是可以幫我用硬一點，店員有問我有沒有吃過本店，然而上餐來的時候，我是不確定這個是不是他們的粗麵，但是""麵體非常軟爛""，我咬下去整個感覺是糊的，我這種拉麵能多硬就有多硬的人吃下去就不開心了 而且不知道是不是煮太爛，好像不大像是常見的拉麵麵條，不如說我打工的台式餐館麵條就像這種= = 然後湯頭整體的部分也是偏淡，跟鳳山的比起來的話老實說沒有那種很濃的感覺，糖心蛋的部分倒是不錯，叉燒飯也中規中矩
 結論的話就是麵跟湯我覺得要再改進一點 我吃到麵下去是軟爛的真的有點傻眼🤔  我有特別問說麵能不能硬，然後他說粗麵的話還是可以幫我用硬一點，店員有問我有沒有吃過本店，然而上餐來的時候，我是不確定這個是不是他們的粗麵，但是""麵體非常軟爛""，我咬下去整個感覺是糊的，我這種拉麵能多硬就有多硬的人吃下去就不開心了 而且不知道是不是煮太爛，好像不大像是常見的拉麵麵條，不如說我打工的台式餐館麵條就像這種= = 然後湯頭整體的部分也是偏淡，跟鳳山的比起來的話老實說沒有那種很濃的感覺，糖心蛋的部分倒是不錯，叉燒飯也中規中矩",11 小時
18,"▎店名：丸雞一番
 ▎區域／鄰近地點：新竹城隍廟附近
 ▎用餐時間：2020/06/19 中午11:30
 ▎排隊狀況：15分鐘 
 ▎拉麵名稱／價格：特製雞白湯拉麵(鹽味)$200 / 特製雞白湯拉麵(醬油味)$230 (價格為開店紀念1周特價唷)
 趕在開幕店的首發中午來吃!! First kill !!!
 【湯頭】
 這次與友人同行，剛好點了一碗醬油味、一碗鹽味
 醬油味的湯頭香氣很足，喝下去有著濃厚的味道但也不會過鹹，但是我更愛友人點的鹽味，湯滑下喉嚨的瞬間是很甘醇的而且順口；甚至留在喉頭的湯汁是有一種回甘的喉韻，不像有些鹽味拉麵到尾韻是很死鹹的
 【麵條】
 麵條聽店家說是當日製造的，使用的是中太麵，麵條Q彈有嚼勁，但是就偏軟的麵體感來說，應該是使用低加水麵才能把整碗湯頭的味道吸好吸滿，麵條在牙嚼的過程中在嘴裡彈開，濃厚的湯頭也就隨之迸發
 【叉燒】
 叉燒的部分就表現得比較平常了，雖然經過炙燒，但是不知道是不是湯頭的表現大過於叉燒，所以讓炙燒的香氣在第一口出現後就戛然停止了
 【叉燒飯】
 叉燒飯上面的醬是比較有趣的部份，輕鬆的甜味帶走拉麵給的油膩感，可以讓人很輕鬆的吃完一碗飯
 【溏心蛋】
 不論是蛋白的軟嫩或是蛋黃的熟度都非常漂亮，我很喜歡這樣吹彈可破的溏心蛋，吃完後可以感受到蛋香味在嘴間風韻猶存
 這陣子在新竹開了不少間拉麵阿～上次也剛吃完鷹流，也確實是有水準的拉麵店，新竹拉麵要崛起了啊!!!
 身為新竹人的我真是感動流涕(泣)",6月19日下午1:05
19,"■店家資訊：麵屋趣 ■臨近地點：高雄|左營|高雄高等法院附近 ■拉麵品項：限定南瓜沾麵（$280） ------------------------------- 麵屋趣使用栗子南瓜製作的限定。同步推出【南瓜沾麵】、【南瓜濃湯拉麵】、【南瓜清爽拉麵】。是麵屋趣開業近一年的第一彈限定拉麵。
 也有同步推出定番【雞清湯野菜拉麵】 ------------------------------- 【沾湯】 🎃南瓜製成➕黑胡椒，… 更多➕鮮奶油➕南瓜子 沾湯超級濃根本是膏狀了！
 南瓜加上奶香滑順的【鮮奶油】，【黑胡椒】辛香增添層次！咬到【南瓜子】又多一份堅果香，整體我是很喜歡的！
 南瓜似乎有打碎 ？！吃起來感覺有使用【roux】調和，Flour的味道還是隱約吃得出來，整體【超級濃稠】！不是濃厚唷！
 沾湯【濃度】是有超過我的負荷程度沒錯，畢竟平常我沒有吃到這麼濃稠，通常吃這麼濃稠的似乎都是男生🤣
 ▲愛吃水泥、泥漿口感、重鐵砲直球對決的麵友，這碗蔬菜底的沾麵或拉麵會較不對味了。 ------------------------------- 【鹹度】覺得稍高些，整體相比有些失去平衡。
 我偏好鹹度再下修一些，整體會更平衡不至於多吃幾口後，舌尖會感覺有些麻麻的@@
 ▲不喜歡濃稠的麵友，這碗可能較不喜歡，建議改點清爽拉麵，或詢問是否可以加清湯稀釋。… 更多 ➕鮮奶油➕南瓜子 沾湯超級濃根本是膏狀了！",11月29日下午4:11
20,"《12月休假公告》 12/1（二）、12/8（二）
 非常感謝所有支持及愛護宇味的朋友們，因租約到期的因素，我們將營業至12/10（四），感恩這八年半來支持我們的朋友，期待很快可以再與您見面。謝謝！～(o^^o)","14 小時
12月1日下午2:04"
21,"《12月休假公告》 12/1（二）、12/8（二）
 非常感謝所有支持及愛護宇味的朋友們，因租約到期的因素，我們將營業至12/10（四），感恩這八年半來支持我們的朋友，期待很快可以再與您見面。謝謝！～(o^^o)",12月1日下午2:04
